id_clima;condicion_climatica;zonificacion
1;DESPEJADO;RESIDENCIAL
2;VENTARRÓN;RURAL
3;DESPEJADO;INDUSTRIAL
4;SOLEADO;COMERCIAL
5;DESPEJADO;ESCOLAR
6;LLUVIOSO;RURAL
7;NUBLADO;RURAL
8;NIEBLA;RESIDENCIAL
9;SOLEADO;RURAL
10;NUBLADO;COMERCIAL
11;NEVADO;RURAL
12;LLUVIOSO;COMERCIAL
13;DESPEJADO;COMERCIAL
14;NIEBLA;RURAL
15;SOLEADO;RESIDENCIAL
16;SOLEADO;ESCOLAR
17;NUBLADO;ESCOLAR
18;NUBLADO;INDUSTRIAL
19;LLUVIOSO;ESCOLAR
20;NUBLADO;RESIDENCIAL
21;LLUVIOSO;RESIDENCIAL
22;SOLEADO;INDUSTRIAL
23;DESPEJADO;RURAL
24;GRANIZADO;RURAL
25;NULL;NULL
26;LLUVIOSO;INDUSTRIAL
