id_fecha;fecha;anio;mes;nombre_mes;trimestre;dia;dia_semana;fin_semana
1;26/6/2021;2021;6;June;2;26;Saturday;SI
2;9/2/2023;2023;2;February;1;9;Thursday;NO
3;24/5/2022;2022;5;May;2;24;Tuesday;NO
4;16/4/2021;2021;4;April;2;16;Friday;NO
5;7/1/2024;2024;1;January;1;7;Sunday;SI
6;21/4/2023;2023;4;April;2;21;Friday;NO
7;4/12/2024;2024;12;December;4;4;Wednesday;NO
8;14/3/2022;2022;3;March;1;14;Monday;NO
9;4/3/2023;2023;3;March;1;4;Saturday;SI
10;30/1/2024;2024;1;January;1;30;Tuesday;NO
11;3/6/2021;2021;6;June;2;3;Thursday;NO
12;27/12/2024;2024;12;December;4;27;Friday;NO
13;19/1/2025;2025;1;January;1;19;Sunday;SI
14;6/6/2023;2023;6;June;2;6;Tuesday;NO
15;11/8/2021;2021;8;August;3;11;Wednesday;NO
16;3/5/2024;2024;5;May;2;3;Friday;NO
17;31/3/2025;2025;3;March;1;31;Monday;NO
18;9/7/2022;2022;7;July;3;9;Saturday;SI
19;19/7/2021;2021;7;July;3;19;Monday;NO
20;10/4/2024;2024;4;April;2;10;Wednesday;NO
21;8/3/2025;2025;3;March;1;8;Saturday;SI
22;16/6/2022;2022;6;June;2;16;Thursday;NO
23;14/5/2023;2023;5;May;2;14;Sunday;SI
24;8/1/2021;2021;1;January;1;8;Friday;NO
25;14/1/2021;2021;1;January;1;14;Thursday;NO
26;3/9/2024;2024;9;September;3;3;Tuesday;NO
27;28/7/2023;2023;7;July;3;28;Friday;NO
28;9/11/2022;2022;11;November;4;9;Wednesday;NO
29;18/6/2024;2024;6;June;2;18;Tuesday;NO
30;24/8/2022;2022;8;August;3;24;Wednesday;NO
31;31/1/2021;2021;1;January;1;31;Sunday;SI
32;6/2/2021;2021;2;February;1;6;Saturday;SI
33;5/7/2023;2023;7;July;3;5;Wednesday;NO
34;26/9/2024;2024;9;September;3;26;Thursday;NO
35;26/5/2024;2024;5;May;2;26;Sunday;SI
36;9/9/2021;2021;9;September;3;9;Thursday;NO
37;26/11/2022;2022;11;November;4;26;Saturday;SI
38;2/12/2022;2022;12;December;4;2;Friday;NO
39;1/8/2022;2022;8;August;3;1;Monday;NO
40;3/8/2024;2024;8;August;3;3;Saturday;SI
41;12/6/2023;2023;6;June;2;12;Monday;NO
42;1/3/2021;2021;3;March;1;1;Monday;NO
43;17/8/2021;2021;8;August;3;17;Tuesday;NO
44;9/10/2022;2022;10;October;4;9;Sunday;SI
45;19/10/2024;2024;10;October;4;19;Saturday;SI
46;6/4/2025;2025;4;April;2;6;Sunday;SI
47;25/12/2022;2022;12;December;4;25;Sunday;SI
48;17/1/2023;2023;1;January;1;17;Tuesday;NO
49;16/9/2022;2022;9;September;3;16;Friday;NO
50;25/7/2021;2021;7;July;3;25;Sunday;SI
51;14/3/2025;2025;3;March;1;14;Friday;NO
52;24/3/2021;2021;3;March;1;24;Wednesday;NO
53;11/11/2024;2024;11;November;4;11;Monday;NO
54;11/7/2024;2024;7;July;3;11;Thursday;NO
55;20/5/2023;2023;5;May;2;20;Saturday;SI
56;2/7/2021;2021;7;July;3;2;Friday;NO
57;24/3/2024;2024;3;March;1;24;Sunday;SI
58;19/2/2025;2025;2;February;1;19;Wednesday;NO
59;10/4/2021;2021;4;April;2;10;Saturday;SI
60;28/11/2024;2024;11;November;4;28;Thursday;NO
61;8/3/2022;2022;3;March;1;8;Tuesday;NO
62;26/10/2025;2025;10;October;4;26;Sunday;SI
63;26/8/2024;2024;8;August;3;26;Monday;NO
64;7/5/2022;2022;5;May;2;7;Saturday;SI
65;26/2/2023;2023;2;February;1;26;Sunday;SI
66;4/4/2023;2023;4;April;2;4;Tuesday;NO
67;24/7/2025;2025;7;July;3;24;Thursday;NO
68;24/1/2024;2024;1;January;1;24;Wednesday;NO
69;31/12/2022;2022;12;December;4;31;Saturday;SI
70;23/2/2021;2021;2;February;1;23;Tuesday;NO
71;21/1/2022;2022;1;January;1;21;Friday;NO
72;13/10/2024;2024;10;October;4;13;Sunday;SI
73;17/5/2021;2021;5;May;2;17;Monday;NO
74;22/9/2025;2025;9;September;3;22;Monday;NO
75;7/2/2024;2024;2;February;1;7;Wednesday;NO
76;27/10/2021;2021;10;October;4;27;Wednesday;NO
77;4/1/2025;2025;1;January;1;4;Saturday;SI
78;11/1/2023;2023;1;January;1;11;Wednesday;NO
79;11/8/2024;2024;8;August;3;11;Sunday;SI
80;17/2/2023;2023;2;February;1;17;Friday;NO
81;9/12/2023;2023;12;December;4;9;Saturday;SI
82;17/11/2024;2024;11;November;4;17;Sunday;SI
83;14/9/2023;2023;9;September;3;14;Thursday;NO
84;22/3/2022;2022;3;March;1;22;Tuesday;NO
85;12/12/2021;2021;12;December;4;12;Sunday;SI
86;28/2/2025;2025;2;February;1;28;Friday;NO
87;16/7/2023;2023;7;July;3;16;Sunday;SI
88;22/7/2023;2023;7;July;3;22;Saturday;SI
89;1/4/2021;2021;4;April;2;1;Thursday;NO
90;15/11/2022;2022;11;November;4;15;Tuesday;NO
91;24/6/2024;2024;6;June;2;24;Monday;NO
92;12/2/2021;2021;2;February;1;12;Friday;NO
93;30/10/2023;2023;10;October;4;30;Monday;NO
94;2/10/2024;2024;10;October;4;2;Wednesday;NO
95;28/8/2021;2021;8;August;3;28;Saturday;SI
96;3/9/2021;2021;9;September;3;3;Friday;NO
97;23/4/2025;2025;4;April;2;23;Wednesday;NO
98;7/8/2022;2022;8;August;3;7;Sunday;SI
99;13/1/2025;2025;1;January;1;13;Monday;NO
100;30/9/2022;2022;9;September;3;30;Friday;NO
101;9/5/2024;2024;5;May;2;9;Thursday;NO
102;27/1/2022;2022;1;January;1;27;Thursday;NO
103;6/9/2023;2023;9;September;3;6;Wednesday;NO
104;26/5/2021;2021;5;May;2;26;Wednesday;NO
105;16/9/2025;2025;9;September;3;16;Tuesday;NO
106;17/8/2024;2024;8;August;3;17;Saturday;SI
107;15/12/2023;2023;12;December;4;15;Friday;NO
108;22/6/2022;2022;6;June;2;22;Wednesday;NO
109;8/6/2025;2025;6;June;2;8;Sunday;SI
110;13/4/2023;2023;4;April;2;13;Thursday;NO
111;19/10/2021;2021;10;October;4;19;Tuesday;NO
112;8/7/2021;2021;7;July;3;8;Thursday;NO
113;21/12/2021;2021;12;December;4;21;Tuesday;NO
114;12/9/2024;2024;9;September;3;12;Thursday;NO
115;13/7/2023;2023;7;July;3;13;Thursday;NO
116;26/12/2023;2023;12;December;4;26;Tuesday;NO
117;2/3/2022;2022;3;March;1;2;Wednesday;NO
118;3/5/2023;2023;5;May;2;3;Wednesday;NO
119;15/8/2022;2022;8;August;3;15;Monday;NO
120;2/2/2025;2025;2;February;1;2;Sunday;SI
121;28/11/2021;2021;11;November;4;28;Sunday;SI
122;13/5/2022;2022;5;May;2;13;Friday;NO
123;20/2/2023;2023;2;February;1;20;Monday;NO
124;5/8/2023;2023;8;August;3;5;Saturday;SI
125;10/4/2023;2023;4;April;2;10;Monday;NO
126;10/10/2021;2021;10;October;4;10;Sunday;SI
127;15/12/2024;2024;12;December;4;15;Sunday;SI
128;23/9/2023;2023;9;September;3;23;Saturday;SI
129;25/3/2022;2022;3;March;1;25;Friday;NO
130;3/10/2022;2022;10;October;4;3;Monday;NO
131;15/3/2023;2023;3;March;1;15;Wednesday;NO
132;12/4/2025;2025;4;April;2;12;Saturday;SI
133;31/8/2023;2023;8;August;3;31;Thursday;NO
134;25/6/2025;2025;6;June;2;25;Wednesday;NO
135;20/5/2021;2021;5;May;2;20;Thursday;NO
136;5/12/2025;2025;12;December;4;5;Friday;NO
137;4/3/2024;2024;3;March;1;4;Monday;NO
138;10/9/2022;2022;9;September;3;10;Saturday;SI
139;22/4/2024;2024;4;April;2;22;Monday;NO
140;2/6/2025;2025;6;June;2;2;Monday;NO
141;5/7/2024;2024;7;July;3;5;Friday;NO
142;12/6/2021;2021;6;June;2;12;Saturday;SI
143;28/12/2025;2025;12;December;4;28;Sunday;SI
144;19/10/2023;2023;10;October;4;19;Thursday;NO
145;2/4/2024;2024;4;April;2;2;Tuesday;NO
146;22/2/2025;2025;2;February;1;22;Saturday;SI
147;12/6/2024;2024;6;June;2;12;Wednesday;NO
148;13/8/2025;2025;8;August;3;13;Wednesday;NO
149;23/10/2025;2025;10;October;4;23;Thursday;NO
150;13/10/2023;2023;10;October;4;13;Friday;NO
151;5/11/2023;2023;11;November;4;5;Sunday;SI
152;10/1/2022;2022;1;January;1;10;Monday;NO
153;17/3/2025;2025;3;March;1;17;Monday;NO
154;10/2/2022;2022;2;February;1;10;Thursday;NO
155;23/5/2023;2023;5;May;2;23;Tuesday;NO
156;20/4/2022;2022;4;April;2;20;Wednesday;NO
157;15/6/2023;2023;6;June;2;15;Thursday;NO
158;3/7/2022;2022;7;July;3;3;Sunday;SI
159;25/8/2023;2023;8;August;3;25;Friday;NO
160;25/9/2025;2025;9;September;3;25;Thursday;NO
161;13/2/2024;2024;2;February;1;13;Tuesday;NO
162;2/11/2021;2021;11;November;4;2;Tuesday;NO
163;10/3/2024;2024;3;March;1;10;Sunday;SI
164;15/7/2025;2025;7;July;3;15;Tuesday;NO
165;21/1/2024;2024;1;January;1;21;Sunday;SI
