id_licencia;posee_licencia;estado_licencia;clase_licencia
1;NULL;NO ESPECIFICA;NULL
2;NO;SUSPENDIDA;A III C
3;NO;CANCELADA;A III C
4;NULL;VENCIDA;OTRO
5;SI;CONDUCTOR INHABILITADO;A III C
6;SI;VIGENTE;B
7;NO;FUGADO;FUGADO
8;SI;NULL;A II A
9;NO;VENCIDA;A III A
10;SI;NO REGISTRA;OTRO
11;NULL;SUSPENDIDA;A II A
12;NO;NO CORRESPONDE;NO CORRESPONDE
13;NO;NULL;A II A
14;NO;SIN DNI IDENTIFICADO;SIN DNI IDENTIFICADO
15;SI;NO CONDUCTOR;NO CONDUCTOR
16;NO;RETENIDA;A I
17;NULL;CANCELADA;OTRO
18;NO;NULL;A III C
19;NO;NO CORRESPONDE;B
20;NULL;RETENIDA;B II C
21;SI;VENCIDA;A III C
22;NULL;INHABILITADO;A I
23;NULL;RETENIDA;A III A
24;NULL;CANCELADA;A III
25;NULL;VIGENTE;B
26;NO;NO CORRESPONDE;SIN DNI IDENTIFICADO
27;NULL;INHABILITADO;SIN LICENCIA
28;SI;VIGENTE;A II B
29;SI;RETENIDA;A III A
30;NULL;NO CORRESPONDE;B II B
31;NULL;NO CORRESPONDE;A III A
32;NULL;RETENIDA;B
33;SI;NULL;A II B
34;NULL;CANCELADA;A III B
35;NULL;NO REGISTRA;OTRO
36;SI;NO REGISTRA;A III B
37;NULL;NULL;A III B
38;NULL;SUSPENDIDA;A II B
39;NULL;FUGADO;FUGADO
40;NO;VENCIDA;A III C
41;NULL;VENCIDA;A I
42;NULL;NO CORRESPONDE;B II C
43;NULL;NO REGISTRA;A III A
44;SI;NO CORRESPONDE;A III C
45;NULL;NO CONDUCTOR;NO CONDUCTOR
46;SI;FUGADO;FUGADO
47;NO;VENCIDA;B II C
48;NULL;VIGENTE;A II B
49;NO;NULL;A II B
50;NULL;RETENIDA;A III B
51;SI;VIGENTE;A II A
52;NULL;NO REGISTRA;B II B
53;NULL;CANCELADA;A I
54;SI;CANCELADA;A III B
55;NULL;CANCELADA;B II C
56;NO;VIGENTE;A III A
57;NULL;NULL;A II A
58;SI;NO REGISTRA;A I
59;SI;SIN DNI IDENTIFICADO;SIN DNI IDENTIFICADO
60;NULL;VENCIDA;A III B
61;NO;CANCELADA / CONDUCTOR INHABILITADO;A II B
62;NULL;VENCIDA;B
63;NO;VENCIDA;A II A
64;SI;NULL;A III C
65;NULL;SIN DNI IDENTIFICADO;SIN DNI IDENTIFICADO
66;NULL;NULL;A I
67;NO;INHABILITADO;A II B
68;NULL;OBSERVADA;B
69;NULL;VIGENTE;A II A
70;SI;VENCIDA;A III A
71;SI;RETENIDA;A II A
72;NO;SUSPENDIDA;A III B
73;SI;CANCELADA;A III
74;SI;RETENIDA;A III C
75;NULL;NO REGISTRA;A I
76;NO;VIGENTE;A II A
77;NULL;NULL;A II B
78;NULL;VIGENTE;B II  C
79;NULL;VENCIDA;A II B
80;SI;VENCIDA;B II C
81;NULL;VENCIDA;B II B
82;NULL;CANCELADA;A III A
83;NULL;VENCIDA;A II
84;SI;CANCELADA / CONDUCTOR INHABILITADO;A II B
85;NULL;SUSPENDIDA;A III C
86;NO;NO CORRESPONDE;A I
87;SI;SUSPENDIDA;A II B
88;SI;SUSPENDIDA;A III C
89;NO;VIGENTE;B II C
90;NULL;RETENIDA;A I
91;SI;SIN LICENCIA;SIN LICENCIA
92;NO;VIGENTE;A III C
93;NULL;NO CORRESPONDE;OTRO
94;NULL;NO CORRESPONDE;A III C
95;NO;LICENCIA CLASE A;A II
96;NULL;VIGENTE;A III B
97;SI;VIGENTE;B II A
98;SI;SUSPENDIDA;A I
99;NO;VIGENTE;A II B
100;SI;INHABILITADO;A II A
101;NULL;RETENIDA;A II A
102;NULL;NULL;A III C
103;NO;VIGENTE;B II B
104;SI;CANCELADA;A II B
105;SI;VIGENTE;A III A
106;NULL;VENCIDA;B I
107;NULL;SUSPENDIDA;B II B
108;NULL;VENCIDA;A II A
109;SI;VIGENTE;A III C
110;NULL;CANCELADA;A III C
111;NULL;VENCIDA;A III A
112;NULL;VENCIDA;B II A
113;SI;ANULADA / CONDUCTOR INHABILITADO;A II B
114;SI;VIGENTE;B I
115;SI;RETENIDA;A I
116;NO;VIGENTE;A I
117;NO;OBSERVADA;B
118;NULL;SIN LICENCIA;OTRO
119;NULL;VIGENTE;B I
120;NULL;SUSPENDIDA;A III B
121;NO;VIGENTE;A III B
122;NULL;SUSPENDIDA;A I
123;SI;VENCIDA;B
124;NULL;RETENIDA;A II B
125;NO;CANCELADA;A II A
126;SI;VIGENTE;A I
127;NULL;NO CORRESPONDE;B
128;NO;VENCIDA;A II B
129;NULL;SIN LICENCIA;NO ESPECIFICA
130;NULL;SUSPENDIDA;A III A
131;NULL;NO CORRESPONDE;NO CORRESPONDE
132;SI;VIGENTE;B II C
133;NULL;NULL;NULL
134;SI;VENCIDA;A I
135;NULL;CANCELADA;A II A
136;SI;NULL;A III B
137;NULL;VENCIDA;A III C
138;NO;VENCIDA;A I
139;SI;VENCIDA;A III B
140;NO;CANCELADA;A II
141;NULL;NO CORRESPONDE;SIN LICENCIA
142;SI;RETENIDA;A II B
143;NULL;NO CORRESPONDE;A I
144;NULL;SIN LICENCIA;NO REGISTRA
145;NULL;CANCELADA / CONDUCTOR INHABILITADO;A I
146;NULL;VENCIDA;B II C
147;NULL;SUSPENDIDA;B II C
148;NO;CANCELADA;A II B
149;NULL;VIGENTE;B II B
150;SI;NULL;A I
151;NULL;SIN LICENCIA;A I
152;SI;VIGENTE;B II B
153;SI;VIGENTE;OTRO
154;NULL;NO CORRESPONDE;SIN DNI IDENTIFICADO
155;SI;OBSERVADA;B
156;SI;RETENIDA;A III B
157;NO;NO CORRESPONDE;A II B
158;NO;VENCIDA;B
159;NULL;VIGENTE;A III A
160;NO;NO CORRESPONDE;A II A
161;NULL;CANCELADA;A II B
162;SI;CANCELADA / CONDUCTOR INHABILITADO;A III C
163;NULL;RETENIDA;A III C
164;SI;VENCIDA;A II A
165;NULL;VIGENTE;A III C
166;SI;CANCELADA;A III C
167;NULL;SIN LICENCIA;SIN LICENCIA
168;SI;CANCELADA;A II A
169;NO;VIGENTE;B
170;NO;NULL;A I
171;NULL;NO REGISTRA;NULL
172;NULL;VIGENTE;OTRO
173;NO;RETENIDA;A II A
174;NULL;VIGENTE;B II C
175;SI;VIGENTE;A III B
176;NULL;VIGENTE;A I
177;NO;CANCELADA / CONDUCTOR INHABILITADO;A I
178;NO;RETENIDA;A III C
179;NO;VENCIDA;B II B
180;NO;SIN LICENCIA;SIN LICENCIA
181;NO;NULL;A III B
182;NULL;CANCELADA / INHABILITADA;A III C
183;NULL;VIGENTE;B II A
184;NO;SUSPENDIDA;A II B
185;SI;VENCIDA;A II B
