id_modalidad;estado_modalidad;modalidad_transporte;ambito_servicio
1;NO CORRESPONDE;AUTO COLECTIVO;REGIONAL
2;HABILITADO;TURISTICO;DISTRITAL
3;NO CORRESPONDE;PARTICULAR;NULL
4;NO HABILITADO;SERVICIO ESPECIAL DE PASAJEROS;NULL
5;HABILITADO;PUBLICO URBANO;REGIONAL
6;HABILITADO;AUTO COLECTIVO;NULL
7;NO CORRESPONDE;SERENAZGO;DISTRITAL
8;NO CORRESPONDE;CARGA;NACIONAL
9;NO HABILITADO;CARGA;INTERNACIONAL
10;NO CORRESPONDE;TAXI;PROVINCIAL
11;NO CORRESPONDE;SERVICIO ESPECIAL DE PASAJEROS;NULL
12;NO CORRESPONDE;OTRO;NO SE CONOCE
13;NO HABILITADO;TRABAJADORES;DISTRITAL
14;HABILITADO;REGULAR(INTERPROVINCIAL);NACIONAL
15;NO CORRESPONDE;REGULAR(INTERPROVINCIAL);REGIONAL
16;NO CORRESPONDE;TURISTICO;PROVINCIAL
17;NO CORRESPONDE;TURISTICO;DISTRITAL
18;HABILITADO;OTRO;PROVINCIAL
19;HABILITADO;TRABAJADORES;NULL
20;HABILITADO;AMBULANCIA;DISTRITAL
21;NO HABILITADO;PUBLICO URBANO;REGIONAL
22;NO CORRESPONDE;OTRO;NACIONAL
23;HABILITADO;VEHICULO POLICIAL;PROVINCIAL
24;HABILITADO;REGULAR(INTERPROVINCIAL);NO SE CONOCE
25;HABILITADO;VEHICULO POLICIAL;REGIONAL
26;NO HABILITADO;NO CORRESPONDE;NULL
27;HABILITADO;VEHICULO POLICIAL;NACIONAL
28;HABILITADO;TURISTICO;PROVINCIAL
29;NO CORRESPONDE;TAXI;DISTRITAL
30;HABILITADO;PUBLICO URBANO;NACIONAL
31;HABILITADO;TAXI;REGIONAL
32;NO HABILITADO;CARGA;REGIONAL
33;NO CORRESPONDE;TURISTICO;NO SE CONOCE
34;NO CORRESPONDE;OTRO;DISTRITAL
35;NO CORRESPONDE;OTRO;PROVINCIAL
36;NULL;NO CORRESPONDE;NULL
37;NO HABILITADO;TAXI;REGIONAL
38;HABILITADO;PARTICULAR;NULL
39;NO HABILITADO;SERENAZGO;NACIONAL
40;NO CORRESPONDE;OTRO;REGIONAL
41;NO CORRESPONDE;VEHICULO POLICIAL;NULL
42;HABILITADO;REGULAR(INTERPROVINCIAL);REGIONAL
43;NO HABILITADO;TAXI;PROVINCIAL
44;NO CORRESPONDE;TRABAJADORES;NULL
45;HABILITADO;REGULAR(INTERPROVINCIAL);PROVINCIAL
46;HABILITADO;REGULAR(INTERPROVINCIAL);DISTRITAL
47;NO CORRESPONDE;REGULAR(INTERPROVINCIAL);INTERNACIONAL
48;HABILITADO;OTRO;REGIONAL
49;HABILITADO;TURISTICO;REGIONAL
