id_persona_dim;tipo_persona;sexo;edad;rango_edad
1;PEATÓN;MASCULINO;90;60+
2;OCUPANTE;FEMENINO;53;30-59
3;PEATÓN;FEMENINO;70;60+
4;PEATÓN;MASCULINO;45;30-59
5;CONDUCTOR;FEMENINO;49;30-59
6;OCUPANTE;MASCULINO;46;30-59
7;PASAJERO;FEMENINO;40;30-59
8;SIN CONDUCTOR;MASCULINO;NULL;60+
9;PASAJERO;MASCULINO;24;18-29
10;CONDUCTOR;MASCULINO;16;Menor
11;CONDUCTOR;MASCULINO;74;60+
12;PEATÓN;FEMENINO;41;30-59
13;CONDUCTOR;MASCULINO;34;30-59
14;PASAJERO;MASCULINO;64;60+
15;OCUPANTE;FEMENINO;81;60+
16;PASAJERO;MASCULINO;55;30-59
17;PEATÓN;MASCULINO;33;30-59
18;PEATÓN;FEMENINO;16;Menor
19;OCUPANTE;MASCULINO;2;Menor
20;OCUPANTE;MASCULINO;27;18-29
21;PASAJERO;FEMENINO;26;18-29
22;PEATÓN;FEMENINO;82;60+
23;PASAJERO;FEMENINO;0;Menor
24;OCUPANTE;FEMENINO;3;Menor
25;PASAJERO;MASCULINO;6;Menor
26;PEATÓN;FEMENINO;53;30-59
27;OCUPANTE;FEMENINO;41;30-59
28;OCUPANTE;FEMENINO;15;Menor
29;OCUPANTE;FEMENINO;69;60+
30;OCUPANTE;MASCULINO;65;60+
31;PEATÓN;MASCULINO;0;Menor
32;PEATÓN;MASCULINO;71;60+
33;PASAJERO;FEMENINO;85;60+
34;OCUPANTE;MASCULINO;58;30-59
35;CONDUCTOR;MASCULINO;22;18-29
36;CONDUCTOR;FEMENINO;30;30-59
37;PASAJERO;FEMENINO;52;30-59
38;PASAJERO;MASCULINO;43;30-59
39;PEATÓN;MASCULINO;21;18-29
40;PASAJERO;MASCULINO;76;60+
41;PASAJERO;FEMENINO;12;Menor
42;PASAJERO;FEMENINO;66;60+
43;OCUPANTE;NULL;NULL;60+
44;OCUPANTE;MASCULINO;39;30-59
45;PEATÓN;FEMENINO;18;18-29
46;CONDUCTOR;MASCULINO;53;30-59
47;PEATÓN;MASCULINO;97;60+
48;OCUPANTE;FEMENINO;29;18-29
49;PEATÓN;MASCULINO;52;30-59
50;CONDUCTOR;MASCULINO;81;60+
51;PASAJERO;FEMENINO;92;60+
52;PEATÓN;FEMENINO;34;30-59
53;OCUPANTE;MASCULINO;9;Menor
54;PASAJERO;FEMENINO;33;30-59
55;PEATÓN;FEMENINO;63;60+
56;PASAJERO;MASCULINO;71;60+
57;CONDUCTOR;FEMENINO;42;30-59
58;CONDUCTOR;MASCULINO;41;30-59
59;OCUPANTE;FEMENINO;48;30-59
60;PASAJERO;MASCULINO;13;Menor
61;PASAJERO;FEMENINO;59;30-59
62;PEATÓN;FEMENINO;4;Menor
63;CONDUCTOR FUGADO;MASCULINO;45;30-59
64;PEATÓN;MASCULINO;78;60+
65;OCUPANTE;MASCULINO;72;60+
66;PEATÓN;FEMENINO;89;60+
67;CONDUCTOR FUGADO;MASCULINO;64;60+
68;PASAJERO;MASCULINO;36;30-59
69;CONDUCTOR;MASCULINO;62;60+
70;PASAJERO;MASCULINO;19;18-29
71;OCUPANTE;FEMENINO;34;30-59
72;PASAJERO;MASCULINO;83;60+
73;CONDUCTOR;FEMENINO;23;18-29
74;PASAJERO;FEMENINO;78;60+
75;SIN CONDUCTOR;MASCULINO;0;Menor
76;PEATÓN;MASCULINO;7;Menor
77;CONDUCTOR;MASCULINO;29;18-29
78;CONDUCTOR;MASCULINO;46;30-59
79;PASAJERO;FEMENINO;2;Menor
80;PASAJERO;MASCULINO;8;Menor
81;PEATÓN;FEMENINO;55;30-59
82;CONDUCTOR;MASCULINO;88;60+
83;OCUPANTE;MASCULINO;32;30-59
84;SIN CONDUCTOR;MASCULINO;28;18-29
85;PEATÓN;MASCULINO;73;60+
86;PEATÓN;FEMENINO;2;Menor
87;OCUPANTE;MASCULINO;29;18-29
88;PEATÓN;FEMENINO;84;60+
89;SIN CONDUCTOR;MASCULINO;32;30-59
90;OCUPANTE;FEMENINO;36;30-59
91;CONDUCTOR FUGADO;MASCULINO;43;30-59
92;PASAJERO;MASCULINO;41;30-59
93;CONDUCTOR;FEMENINO;21;18-29
94;PEATÓN;MASCULINO;59;30-59
95;OCUPANTE;MASCULINO;16;Menor
96;PASAJERO;FEMENINO;90;60+
97;PASAJERO;MASCULINO;NULL;60+
98;PASAJERO;MASCULINO;78;60+
99;PEATÓN;MASCULINO;19;18-29
100;OCUPANTE;FEMENINO;22;18-29
101;OCUPANTE;MASCULINO;63;60+
102;CONDUCTOR;FEMENINO;35;30-59
103;PASAJERO;FEMENINO;57;30-59
104;PEATÓN;FEMENINO;20;18-29
105;PEATÓN;MASCULINO;2;Menor
106;CONDUCTOR;MASCULINO;51;30-59
107;PEATÓN;MASCULINO;85;60+
108;PASAJERO;FEMENINO;71;60+
109;OCUPANTE;MASCULINO;44;30-59
110;PEATÓN;FEMENINO;65;60+
111;CONDUCTOR;MASCULINO;83;60+
112;CONDUCTOR FUGADO;MASCULINO;55;30-59
