id_senalizacion;existe_senal_vertical;clasificacion_senal_1;clasificacion_senal_2;existe_senal_horizontal
1;SI;REGULADORA (R);REGULADORA (R);SI
2;SI;PREVENTIVA (P);INFORMATIVA (I);SI
3;NULL;NULL;INFORMATIVA (I);NULL
4;SI;REGULADORA (R);PREVENTIVA (P);SI
5;SI;REGULADORA (R);INFORMATIVA (I);NO
6;SI;INFORMATIVA (I);INFORMATIVA (I);SI
7;SI;REGULADORA (R);NULL;SI
8;NULL;PREVENTIVA (P);PREVENTIVA (P);NULL
9;SI;INFORMATIVA (I);NULL;SI
10;SI;REGULADORA (R);REGULADORA (R);NO
11;SI;REGULADORA (R);NULL;NO
12;SI;PREVENTIVA (P);INFORMATIVA (I);NO
13;SI;INFORMATIVA (I);REGULADORA (R);SI
14;SI;PREVENTIVA (P);NULL;SI
15;SI;INFORMATIVA (I);PREVENTIVA (P);NO
16;NULL;PREVENTIVA (P);REGULADORA (R);NULL
17;NO;NULL;NULL;NO
18;SI;PREVENTIVA (P);PREVENTIVA (P);SI
19;NO;NULL;NULL;SI
20;NULL;PREVENTIVA (P);NULL;NULL
21;SI;REGULADORA (R);INFORMATIVA (I);SI
22;SI;INFORMATIVA (I);PREVENTIVA (P);SI
23;NULL;NULL;NULL;NULL
24;SI;PREVENTIVA (P);NULL;NO
25;SI;REGULADORA (R);PREVENTIVA (P);NO
26;SI;PREVENTIVA (P);REGULADORA (R);SI
27;SI;INFORMATIVA (I);INFORMATIVA (I);NO
28;NULL;REGULADORA (R);NULL;NULL
29;SI;INFORMATIVA (I);REGULADORA (R);NO
30;SI;PREVENTIVA (P);PREVENTIVA (P);NO
31;SI;PREVENTIVA (P);REGULADORA (R);NO
32;SI;INFORMATIVA (I);NULL;NO
