id_ubicacion;departamento;provincia;distrito;ubicacion;codigo_carretera;red_vial
1;AMAZONAS;BAGUA;BAGUA;AM-101;AM-101;DEPARTAMENTAL
2;AMAZONAS;BAGUA;BAGUA;Avenida Agropecuaria;AM-101;DEPARTAMENTAL
3;AMAZONAS;BAGUA;BAGUA;Avenida Agropecuaria;NO CORRESPONDE;URBANO
4;AMAZONAS;BAGUA;BAGUA;PE-5NC;PE-5NC;NACIONAL
5;AMAZONAS;BAGUA;IMAZA;PE-5NC;PE-5NC;NACIONAL
6;AMAZONAS;BONGARA;CHURUJA;PE-08C;PE-08C;NACIONAL
7;AMAZONAS;BONGARA;VALERA;Carretera a San Pablo;AM-637;PROVINCIAL
8;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;AM-110;AM-110;DEPARTAMENTAL
9;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;Carretera Aeropuerto;AM-109;DEPARTAMENTAL
10;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;Chachapoyas;NO CORRESPONDE;URBANO
11;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;PE-08B;PE-08B;NACIONAL
12;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;PE-08C;PE-08C;NACIONAL
13;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;Sociego;NO CORRESPONDE;URBANO
14;AMAZONAS;CHACHAPOYAS;HUANCAS;PE-08C;PE-08C;NACIONAL
15;AMAZONAS;CHACHAPOYAS;LA JALCA;Jirón Nube Azul;AM-676;PROVINCIAL
16;AMAZONAS;CHACHAPOYAS;LEVANTO;Jirón Ayacucho;NO CORRESPONDE;URBANO
17;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;PE-08B;PE-08B;NACIONAL
18;AMAZONAS;LUYA;OCUMAL;Ocumal;SIN CLASIFICAR;SIN CLASIFICAR
19;AMAZONAS;LUYA;SAN JERONIMO;Carretera Presidente Fernando Belaúnde Terry;PE-5N;NACIONAL
20;AMAZONAS;LUYA;SANTA CATALINA;Santa Catalina;SIN CLASIFICAR;SIN CLASIFICAR
21;AMAZONAS;LUYA;TINGO;PE-08B;PE-08B;NACIONAL
22;AMAZONAS;LUYA;TINGO;Vía de Acceso Norte a Nuevo Tingo;NO CORRESPONDE;URBANO
23;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;Achamal;AM-693;PROVINCIAL
24;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;Longar;AM-682;PROVINCIAL
25;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;PE-08B;PE-08B;NACIONAL
26;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;PE-08B;PE-08B;NACIONAL
27;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;Omia;SIN CLASIFICAR;SIN CLASIFICAR
28;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;Avenida Juan Pardo de Miguel;NO CORRESPONDE;URBANO
29;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;Jirón Alonso de Alvarado;PE-08B;NACIONAL
30;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;Avenida Chachapoyas;PE-5N;NACIONAL
31;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;Bolognesi;NO CORRESPONDE;URBANO
32;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;Carretera Presidente Fernando Belaúnde Terry;PE-5N;NACIONAL
33;AMAZONAS;UTCUBAMBA;CAJARURO;AM-102;AM-102;DEPARTAMENTAL
34;AMAZONAS;UTCUBAMBA;CAJARURO;Cajaruro;SIN CLASIFICAR;SIN CLASIFICAR
35;AMAZONAS;UTCUBAMBA;CUMBA;AM-103;AM-103;DEPARTAMENTAL
36;AMAZONAS;UTCUBAMBA;EL MILAGRO;Carretera Presidente Fernando Belaúnde Terry;PE-5N;NACIONAL
37;AMAZONAS;UTCUBAMBA;EL MILAGRO;PE-5NC;PE-5NC;NACIONAL
38;AMAZONAS;UTCUBAMBA;JAMALCA;Carretera Presidente Fernando Belaúnde Terry;PE-5N;NACIONAL
39;ANCASH;AIJA;CORIS;Vista Alegre;SIN CLASIFICAR;SIN CLASIFICAR
40;ANCASH;AIJA;HUACLLAN;Huacllán;SIN CLASIFICAR;SIN CLASIFICAR
41;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;AN-108;AN-108;DEPARTAMENTAL
42;ANCASH;ASUNCION;CHACAS;AN 647 - Carretera Chacas-Cochas;SIN CLASIFICAR;SIN CLASIFICAR
43;ANCASH;ASUNCION;CHACAS;Jirón San Martín;AN-107;DEPARTAMENTAL
44;ANCASH;BOLOGNESI;ANTONIO RAYMONDI;Mallao;AN-1240;PROVINCIAL
45;ANCASH;BOLOGNESI;ANTONIO RAYMONDI;Raquia;NO CORRESPONDE;URBANO
46;ANCASH;BOLOGNESI;AQUIA;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
47;ANCASH;BOLOGNESI;CAJACAY;Cajacay;AN-1242;PROVINCIAL
48;ANCASH;BOLOGNESI;CAJACAY;Carretera a Huaraz;PE-16;NACIONAL
49;ANCASH;BOLOGNESI;CHIQUIAN;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
50;ANCASH;BOLOGNESI;HUALLANCA;AN-1263;AN-1263;PROVINCIAL
51;ANCASH;BOLOGNESI;HUALLANCA;Jirón Comercio;PE-3N;NACIONAL
52;ANCASH;BOLOGNESI;PACLLON;Via Llamac-Chiquián;AN-1263;PROVINCIAL
53;ANCASH;CARHUAZ;ACOPAMPA;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
54;ANCASH;CARHUAZ;AMASHCA;Punyan;AN-800;PROVINCIAL
55;ANCASH;CARHUAZ;ANTA;Anta;AN-1106;PROVINCIAL
56;ANCASH;CARHUAZ;ANTA;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
57;ANCASH;CARHUAZ;ATAQUERO;Toma;AN-1093;PROVINCIAL
58;ANCASH;CARHUAZ;CARHUAZ;AN-616;AN-1103;PROVINCIAL
59;ANCASH;CARHUAZ;CARHUAZ;Avenida La Merced;AN-107;DEPARTAMENTAL
60;ANCASH;CARHUAZ;CARHUAZ;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
61;ANCASH;CARHUAZ;MARCARA;AN-770;AN-770;PROVINCIAL
62;ANCASH;CARHUAZ;MARCARA;Carretera Longitudinal de la Sierra Norte;AN-784;PROVINCIAL
63;ANCASH;CARHUAZ;MARCARA;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
64;ANCASH;CARHUAZ;MARCARA;Shumay;AN-770;PROVINCIAL
65;ANCASH;CARHUAZ;SAN MIGUEL DE ACO;Aco;AN-770;PROVINCIAL
66;ANCASH;CARHUAZ;SHILLA;AN-107;AN-107;DEPARTAMENTAL
67;ANCASH;CARHUAZ;TINCO;Avenida Las Flores;AN-1094;PROVINCIAL
68;ANCASH;CARHUAZ;TINCO;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
69;ANCASH;CARHUAZ;YUNGAR;Carretera Longitudinal de la Sierra Norte;PE-3N;NACIONAL
70;ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;Carretera Longitudinal de Conchucos;PE-14C;NACIONAL
71;ANCASH;CARLOS FERMIN FITZCARRALD;SAN NICOLAS;AN 580;AN-625;PROVINCIAL
72;ANCASH;CARLOS FERMIN FITZCARRALD;SAN NICOLAS;Ruris;SIN CLASIFICAR;SIN CLASIFICAR
73;ANCASH;CASMA;CASMA;Avenida Magdalena;PE-1N;NACIONAL
74;ANCASH;CASMA;CASMA;Carretera Casma - Huaraz;PE-1N;NACIONAL
75;ANCASH;CASMA;CASMA;Casma;PE-1N;NACIONAL
76;ANCASH;CASMA;CASMA;Panamericana Norte;PE-1N;NACIONAL
77;ANCASH;CASMA;CASMA;PE-1N;PE-1N;NACIONAL
78;ANCASH;CASMA;COMANDANTE NOEL;Panamericana Norte;PE-1N;NACIONAL
