id_via;tipo_via;superficie_calzada;caracteristicas_via;perfil_longitudinal
1;ALAMEDA;ASFALTADA;TRAMO RECTO;PLANA 
2;AUTOPISTA;NULL;NULL;NULL
3;AUTOPISTA;ASFALTADA;CURVA;INCLINADA
4;AUTOPISTA;ASFALTADA;INTERSECCIÓN;INCLINADA
5;AUTOPISTA;ASFALTADA;INTERSECCIÓN;PLANA 
6;AUTOPISTA;ASFALTADA;TRAMO RECTO;INCLINADA
7;AUTOPISTA;ASFALTADA;TRAMO RECTO;PLANA 
8;AUTOPISTA;TROCHA;OTRO;INCLINADA
9;AVENIDA;NULL;NULL;NULL
10;AVENIDA;AFIRMADO;CURVA;INCLINADA
11;AVENIDA;AFIRMADO;INTERSECCIÓN;PLANA 
12;AVENIDA;AFIRMADO;OTRO;INCLINADA
13;AVENIDA;AFIRMADO;TRAMO RECTO;INCLINADA
14;AVENIDA;AFIRMADO;TRAMO RECTO;PLANA 
15;AVENIDA;ASFALTADA;CURVA;INCLINADA
16;AVENIDA;ASFALTADA;CURVA;PLANA 
17;AVENIDA;ASFALTADA;INTERSECCIÓN;INCLINADA
18;AVENIDA;ASFALTADA;INTERSECCIÓN;PLANA 
19;AVENIDA;ASFALTADA;OTRO;INCLINADA
20;AVENIDA;ASFALTADA;OTRO;PLANA 
21;AVENIDA;ASFALTADA;ÓVALO;INCLINADA
22;AVENIDA;ASFALTADA;ÓVALO;PLANA 
23;AVENIDA;ASFALTADA;PASE A DESNIVEL;INCLINADA
24;AVENIDA;ASFALTADA;PUENTE;INCLINADA
25;AVENIDA;ASFALTADA;PUENTE;PLANA 
26;AVENIDA;ASFALTADA;SINUOSA;INCLINADA
27;AVENIDA;ASFALTADA;SINUOSA;PLANA 
28;AVENIDA;ASFALTADA;TRAMO RECTO;INCLINADA
29;AVENIDA;ASFALTADA;TRAMO RECTO;PLANA 
30;AVENIDA;ASFALTADA;TÚNEL;PLANA 
31;AVENIDA;CASCAJO/RIPIO;PUENTE;INCLINADA
32;AVENIDA;CASCAJO/RIPIO;TRAMO RECTO;INCLINADA
33;AVENIDA;CONCRETO;CURVA;PLANA 
34;AVENIDA;CONCRETO;INTERSECCIÓN;INCLINADA
35;AVENIDA;CONCRETO;INTERSECCIÓN;PLANA 
36;AVENIDA;CONCRETO;TRAMO RECTO;INCLINADA
37;AVENIDA;CONCRETO;TRAMO RECTO;PLANA 
38;AVENIDA;EMPEDRADO;CURVA;INCLINADA
39;AVENIDA;TROCHA;INTERSECCIÓN;INCLINADA
40;AVENIDA;TROCHA;INTERSECCIÓN;PLANA 
41;AVENIDA;TROCHA;TRAMO RECTO;INCLINADA
42;AVENIDA;TROCHA;TRAMO RECTO;PLANA 
43;CALLE;NULL;NULL;NULL
44;CALLE;ADOQUINADO;TRAMO RECTO;INCLINADA
45;CALLE;ADOQUINADO;TRAMO RECTO;PLANA 
46;CALLE;AFIRMADO;CURVA;PLANA 
47;CALLE;AFIRMADO;INTERSECCIÓN;PLANA 
48;CALLE;AFIRMADO;OTRO;PLANA 
49;CALLE;AFIRMADO;PASE A DESNIVEL;INCLINADA
50;CALLE;AFIRMADO;TRAMO RECTO;INCLINADA
51;CALLE;AFIRMADO;TRAMO RECTO;PLANA 
52;CALLE;ASFALTADA;CURVA;INCLINADA
53;CALLE;ASFALTADA;CURVA;PLANA 
54;CALLE;ASFALTADA;INTERSECCIÓN;INCLINADA
55;CALLE;ASFALTADA;INTERSECCIÓN;PLANA 
56;CALLE;ASFALTADA;SINUOSA;PLANA 
57;CALLE;ASFALTADA;TRAMO RECTO;INCLINADA
58;CALLE;ASFALTADA;TRAMO RECTO;PLANA 
59;CALLE;CASCAJO/RIPIO;CURVA;PLANA 
60;CALLE;CASCAJO/RIPIO;TRAMO RECTO;INCLINADA
61;CALLE;CASCAJO/RIPIO;TRAMO RECTO;PLANA 
62;CALLE;CONCRETO;CURVA;INCLINADA
63;CALLE;CONCRETO;INTERSECCIÓN;PLANA 
64;CALLE;CONCRETO;PUENTE;INCLINADA
65;CALLE;CONCRETO;TRAMO RECTO;INCLINADA
66;CALLE;CONCRETO;TRAMO RECTO;PLANA 
67;CALLE;TROCHA;CURVA;PLANA 
68;CALLE;TROCHA;INTERSECCIÓN;PLANA 
69;CALLE;TROCHA;OTRO;INCLINADA
70;CALLE;TROCHA;OTRO;PLANA 
71;CALLE;TROCHA;PASE A DESNIVEL;INCLINADA
72;CALLE;TROCHA;TRAMO RECTO;INCLINADA
73;CALLE;TROCHA;TRAMO RECTO;PLANA 
74;CARRETERA;NULL;NULL;NULL
75;CARRETERA;ADOQUINADO;PASE A DESNIVEL;INCLINADA
76;CARRETERA;ADOQUINADO;TRAMO RECTO;PLANA 
77;CARRETERA;AFIRMADO;CURVA;INCLINADA
78;CARRETERA;AFIRMADO;CURVA;PLANA 
79;CARRETERA;AFIRMADO;INTERSECCIÓN;INCLINADA
80;CARRETERA;AFIRMADO;INTERSECCIÓN;PLANA 
81;CARRETERA;AFIRMADO;OTRO;INCLINADA
82;CARRETERA;AFIRMADO;OTRO;PLANA 
83;CARRETERA;AFIRMADO;PASE A DESNIVEL;INCLINADA
84;CARRETERA;AFIRMADO;PUENTE;INCLINADA
85;CARRETERA;AFIRMADO;SINUOSA;INCLINADA
86;CARRETERA;AFIRMADO;SINUOSA;PLANA 
87;CARRETERA;AFIRMADO;TRAMO RECTO;INCLINADA
88;CARRETERA;AFIRMADO;TRAMO RECTO;PLANA 
89;CARRETERA;AFIRMADO;TÚNEL;PLANA 
90;CARRETERA;ASFALTADA;CURVA;INCLINADA
91;CARRETERA;ASFALTADA;CURVA;PLANA 
92;CARRETERA;ASFALTADA;INTERSECCIÓN;INCLINADA
93;CARRETERA;ASFALTADA;INTERSECCIÓN;PLANA 
94;CARRETERA;ASFALTADA;OTRO;NULL
95;CARRETERA;ASFALTADA;OTRO;INCLINADA
96;CARRETERA;ASFALTADA;OTRO;PLANA 
97;CARRETERA;ASFALTADA;ÓVALO;INCLINADA
98;CARRETERA;ASFALTADA;ÓVALO;PLANA 
99;CARRETERA;ASFALTADA;PASE A DESNIVEL;INCLINADA
100;CARRETERA;ASFALTADA;PASE A DESNIVEL;PLANA 
101;CARRETERA;ASFALTADA;PUENTE;INCLINADA
102;CARRETERA;ASFALTADA;PUENTE;PLANA 
103;CARRETERA;ASFALTADA;SINUOSA;INCLINADA
