id_persona_fact;codigo_siniestro;id_fecha;id_persona_dim;id_licencia;id_dosaje;id_gravedad;total_personas;fallecido;lesionado
1;A-2022-04-213;1489;315;45;12;1;1;0;1
2;A-2022-04-213;1489;321;45;12;1;1;0;1
3;A-2022-04-213;1489;681;45;12;1;1;0;1
4;A-2022-04-213;1489;393;45;17;1;1;0;1
5;A-2022-04-213;1489;16;45;12;1;1;0;1
6;A-2022-04-12;1489;13;77;12;2;1;1;0
7;A-2022-04-12;1489;671;167;8;1;1;0;1
8;A-2022-04-12;1489;398;45;12;1;1;0;1
9;A-2022-04-14;1489;191;167;8;4;1;0;0
10;A-2022-04-14;1489;634;45;8;2;1;1;0
11;A-2022-04-14;1489;178;45;8;1;1;0;1
12;A-2022-04-242;1489;191;167;6;2;1;1;0
13;A-2022-04-242;1489;593;39;18;3;1;0;0
14;A-2022-04-48;399;372;167;18;2;1;1;0
15;A-2022-04-206;399;277;167;12;2;1;1;0
16;A-2022-04-13;399;593;39;12;3;1;0;0
17;A-2022-04-13;399;697;45;12;2;1;1;0
18;A-2022-04-190;399;351;65;18;2;1;1;0
19;A-2022-04-6;399;593;39;18;3;1;0;0
20;A-2022-04-6;399;477;45;12;2;1;1;0
21;A-2022-04-180;399;710;109;16;4;1;0;0
22;A-2022-04-180;399;351;66;8;2;1;1;0
23;A-2022-04-205;399;184;28;16;4;1;0;0
24;A-2022-04-205;399;558;167;8;2;1;1;0
25;A-2022-04-243;399;372;167;18;2;1;1;0
26;A-2022-04-7;399;586;167;8;4;1;0;0
27;A-2022-04-7;399;218;45;12;2;1;1;0
28;A-2022-04-49;399;671;167;18;2;1;1;0
29;A-2022-04-49;399;417;45;18;1;1;0;1
30;A-2022-04-200;399;35;167;18;3;1;0;0
31;A-2022-04-200;399;328;45;18;2;1;1;0
32;A-2022-04-71;399;151;132;12;2;1;1;0
33;A-2022-04-137;399;671;126;16;1;1;0;1
34;A-2022-04-137;399;96;45;12;2;1;1;0
35;A-2022-04-137;399;383;45;18;1;1;0;1
36;A-2022-04-15;399;283;51;8;4;1;0;0
37;A-2022-04-15;399;313;132;12;2;1;1;0
38;A-2022-04-142;399;608;167;5;1;1;0;1
39;A-2022-04-142;399;587;174;16;2;1;1;0
40;A-2022-04-69;399;427;51;8;4;1;0;0
41;A-2022-04-69;399;201;45;12;2;1;1;0
42;A-2022-04-70;399;243;167;12;2;1;1;0
43;A-2022-04-221;1052;58;167;12;2;1;1;0
44;A-2022-04-221;1052;60;45;12;1;1;0;1
45;A-2022-04-101;1052;372;28;16;4;1;0;0
46;A-2022-04-101;1052;126;45;12;2;1;1;0
47;A-2022-04-192;1052;295;65;18;4;1;0;0
48;A-2022-04-192;1052;511;65;18;1;1;0;1
49;A-2022-04-192;1052;300;45;18;2;1;1;0
50;A-2022-04-140;1052;535;167;3;2;1;1;0
51;A-2022-04-94;1052;704;94;12;2;1;1;0
52;A-2022-04-94;1052;593;39;18;3;1;0;0
53;A-2022-04-224;1708;414;151;16;4;1;0;0
54;A-2022-04-224;1708;492;45;18;2;1;1;0
55;A-2022-04-224;1708;316;45;18;2;1;1;0
56;A-2022-04-224;1708;621;45;18;2;1;1;0
57;A-2022-04-224;1708;459;45;18;2;1;1;0
58;A-2022-04-224;1708;418;45;12;2;1;1;0
59;A-2022-04-224;1708;565;45;12;1;1;0;1
60;A-2022-04-224;1708;357;45;12;1;1;0;1
61;A-2022-04-224;1708;68;45;12;1;1;0;1
62;A-2022-04-25;1708;77;28;8;1;1;0;1
63;A-2022-04-25;1708;600;45;12;2;1;1;0
64;A-2022-04-25;1708;623;45;12;2;1;1;0
65;A-2022-04-25;1708;470;45;12;1;1;0;1
66;A-2022-04-25;1708;439;45;12;1;1;0;1
67;A-2022-04-25;1708;230;109;8;4;1;0;0
68;A-2022-04-244;1708;277;167;12;2;1;1;0
69;A-2022-04-244;1708;70;45;12;1;1;0;1
70;A-2022-04-65;1708;77;152;8;2;1;1;0
71;A-2022-04-65;1708;706;25;8;1;1;0;1
72;A-2022-04-23;1077;593;39;12;3;1;0;0
73;A-2022-04-23;1077;584;45;8;2;1;1;0
74;A-2022-04-32;1077;243;126;8;2;1;1;0
75;A-2022-04-32;1077;387;45;12;1;1;0;1
76;A-2022-04-32;1077;92;45;12;1;1;0;1
77;A-2022-04-72;1077;717;109;16;4;1;0;0
78;A-2022-04-72;1077;549;25;12;2;1;1;0
79;A-2022-04-230;1077;710;167;8;1;1;0;1
80;A-2022-04-230;1077;361;45;12;2;1;1;0
81;A-2022-04-183;1077;243;126;18;4;1;0;0
82;A-2022-04-183;1077;625;45;18;1;1;0;1
83;A-2022-04-183;1077;156;45;18;1;1;0;1
84;A-2022-04-183;1077;61;45;18;1;1;0;1
85;A-2022-04-183;1077;9;45;18;1;1;0;1
86;A-2022-04-183;1077;588;45;18;2;1;1;0
87;A-2022-04-183;1077;236;45;18;2;1;1;0
88;A-2022-04-216;1077;717;28;8;4;1;0;0
89;A-2022-04-216;1077;279;45;8;2;1;1;0
90;A-2022-04-194;1515;169;25;18;2;1;1;0
91;A-2022-04-194;1515;715;45;18;1;1;0;1
92;A-2022-04-21;1515;230;28;8;4;1;0;0
