id_siniestro_fact;codigo_siniestro;id_fecha;id_ubicacion;id_via;id_causa;id_clima;id_senalizacion;cantidad_fallecidos;cantidad_lesionados;cantidad_vehiculos_danados;total_siniestros
9107;A-2022-09-170;313;3;29;27;1;23;1;1;2;1
9108;A-2023-07-47;88;11;90;27;23;19;2;1;2;1
9109;A-2021-04-300;839;16;149;27;23;23;1;0;1;1
9110;A-2023-03-89;760;22;148;27;9;23;1;1;1;1
9111;A-2021-03-300;1060;23;131;27;6;23;1;0;1;1
9112;A-2022-10-101;1722;27;106;27;23;23;1;1;1;1
9113;A-2023-10-76;199;30;106;27;23;19;1;1;2;1
9114;A-2021-08-329;1405;35;88;27;6;23;5;1;1;1
9115;A-2024-02-95-A;1296;36;106;27;23;23;1;0;NULL;1
9116;A-2023-06-16;1547;43;106;27;23;23;1;0;1;1
9117;A-2022-12-50;191;47;131;27;23;23;3;0;1;1
9118;A-2025-03-53;1437;48;91;27;6;23;1;0;1;1
9119;A-2022-06-32;696;48;125;27;23;23;2;21;1;1
9120;A-2021-07-145;1474;48;90;36;23;18;1;1;1;1
9121;A-2022-11-44;1188;51;90;27;23;23;2;0;1;1
9122;A-2021-05-110;501;53;90;23;7;14;2;3;2;1
9123;A-2021-03-145;608;55;116;36;23;23;1;0;1;1
9124;A-2023-06-17;1133;57;131;27;23;23;1;0;1;1
9125;A-2021-08-131;1446;60;106;27;1;19;1;1;1;1
9126;A-2023-05-13;1259;60;131;27;23;23;1;2;1;1
9127;A-2022-02-83;1629;60;91;14;9;4;1;1;2;1
9128;A-2022-11-45;500;62;105;14;23;19;1;2;1;1
9129;A-2021-10-213;1440;65;87;27;23;23;1;1;1;1
9130;A-2022-05-140;3;67;93;27;1;23;1;0;NULL;1
9131;A-2021-06-38;272;72;77;36;9;30;1;3;1;1
9132;A-2022-01-1;428;80;74;27;25;23;3;3;NULL;1
9133;A-2022-03-145;380;81;91;27;6;23;1;6;1;1
9134;A-2022-10-50;337;92;135;27;7;23;1;0;1;1
9135;A-2022-07-205;210;95;135;27;23;23;1;0;NULL;1
9136;A-2021-06-155;815;98;90;36;23;7;1;2;1;1
9137;A-2022-09-160;864;98;103;27;23;23;1;1;NULL;1
9138;A-2022-10-45;186;107;90;9;23;23;1;0;1;1
9139;A-2023-01-24;614;113;174;27;23;25;1;0;2;1
