id_vehiculo_fact;codigo_siniestro;id_fecha;id_vehiculo_dim;id_modalidad;id_seguridad_vehiculo;total_vehiculos;vehiculo_sin_soat;vehiculo_sin_revision
1;A-2021-02-8;432;7;114;129;1;0;0
2;A-2021-02-8;432;13;171;34;1;0;0
3;A-2021-02-78;432;3;76;108;1;0;0
4;A-2021-02-240;432;5;190;55;1;0;0
5;A-2021-02-56;432;7;190;129;1;0;0
6;A-2021-02-56;432;10;190;101;1;0;0
7;A-2021-02-277;432;7;190;132;1;0;1
8;A-2021-02-277;432;13;171;76;1;0;0
9;A-2021-02-20;432;7;190;17;1;0;0
10;A-2021-02-20;432;7;3;17;1;0;0
11;A-2023-10-73;433;8;54;1;1;0;0
12;A-2023-10-73;433;7;190;3;1;0;0
13;A-2023-10-174;433;17;123;92;1;1;1
14;A-2023-10-129;433;10;190;52;1;0;0
15;A-2023-10-130;433;13;171;69;1;0;0
16;A-2022-01-155;434;3;173;52;1;0;0
17;A-2022-01-228;434;12;65;136;1;0;0
18;A-2022-01-300;434;13;171;69;1;0;0
19;A-2022-01-343;434;3;146;52;1;0;0
20;A-2022-01-343;434;5;190;76;1;0;0
21;A-2022-01-2;434;13;171;69;1;0;0
22;A-2022-01-290;434;3;190;52;1;0;0
23;A-2022-01-167;434;8;51;52;1;0;0
24;A-2022-01-278;434;3;190;92;1;1;1
25;A-2022-11-184;437;10;33;52;1;0;0
26;A-2022-11-184;437;13;129;76;1;0;0
27;A-2022-11-196;437;10;146;52;1;0;0
28;A-2022-11-196;437;8;95;52;1;0;0
29;A-2022-11-41;437;8;103;52;1;0;0
30;A-2022-11-197;437;8;135;132;1;0;1
31;A-2022-11-197;437;17;31;112;1;1;1
32;A-2022-11-69;437;17;190;132;1;0;1
33;A-2022-11-237;437;7;190;27;1;0;1
34;A-2022-11-237;437;6;190;74;1;0;0
35;A-2022-11-114;437;11;129;38;1;0;0
36;A-2021-01-122;438;5;114;129;1;0;0
37;A-2021-01-122;438;8;169;104;1;0;0
38;A-2021-01-122;438;17;71;129;1;0;0
39;A-2021-01-119;438;10;38;108;1;0;0
40;A-2021-01-74;438;10;190;108;1;0;0
41;A-2021-01-74;438;10;190;42;1;0;0
42;A-2021-01-74;438;10;190;108;1;0;0
43;A-2021-12-155;439;22;96;74;1;0;0
44;A-2021-12-204;439;13;171;69;1;0;0
45;A-2021-12-29;439;3;85;1;1;0;0
46;A-2021-12-11;439;21;45;52;1;0;0
47;A-2021-12-154;439;10;190;21;1;0;0
48;A-2021-12-12;439;13;171;69;1;0;0
49;A-2021-12-51;439;13;171;69;1;0;0
50;A-2021-12-155;439;12;145;74;1;0;0
51;A-2025-04-24;448;7;85;92;1;1;1
52;A-2021-07-184;462;7;190;42;1;0;0
53;A-2025-03-14;464;11;12;96;1;1;0
54;A-2025-03-82;464;8;116;52;1;0;0
55;A-2023-05-33;467;7;190;96;1;1;0
56;A-2023-05-24;467;8;169;52;1;0;0
57;A-2023-05-90;467;7;190;38;1;0;0
58;A-2023-05-70;467;10;85;132;1;0;1
59;A-2023-06-44;468;13;171;69;1;0;0
60;A-2023-06-128;468;21;204;52;1;0;0
61;A-2023-06-128;468;8;116;52;1;0;0
62;A-2023-06-45;468;7;190;96;1;1;0
63;A-2023-06-20;468;10;190;1;1;0;0
64;A-2023-06-20;468;20;8;52;1;0;0
65;A-2023-06-129;468;10;190;132;1;0;1
66;A-2023-06-170;468;3;75;52;1;0;0
67;A-2023-06-131;468;12;204;52;1;0;0
68;A-2023-06-180;468;13;171;69;1;0;0
69;A-2023-06-181;468;21;42;52;1;0;0
70;A-2023-06-181;468;10;190;52;1;0;0
71;A-2023-06-90;468;7;190;38;1;0;0
72;A-2025-04-6;470;22;116;52;1;0;0
73;A-2025-04-20;470;3;85;52;1;0;0
74;A-2025-04-56;470;10;190;132;1;0;1
75;A-2025-04-56;470;7;190;3;1;0;0
76;A-2022-07-46;471;13;171;69;1;0;0
77;A-2022-07-243;471;8;116;3;1;0;0
78;A-2022-07-243;471;10;146;3;1;0;0
79;A-2022-07-201;471;3;172;132;1;0;1
80;A-2022-07-201;471;1;121;132;1;0;1
81;A-2022-07-198;471;10;3;52;1;0;0
82;A-2022-07-12;471;7;38;92;1;1;1
83;A-2022-07-151;471;7;3;1;1;0;0
84;A-2024-12-76;472;8;146;21;1;0;0
85;A-2024-12-76;472;10;146;132;1;0;1
86;A-2024-12-34;472;7;85;72;1;0;0
87;A-2024-12-33;472;20;50;52;1;0;0
88;A-2024-12-33;472;12;146;52;1;0;0
89;A-2024-12-74;472;12;145;52;1;0;0
90;A-2024-12-75;472;3;145;27;1;0;1
91;A-2023-01-71;474;21;14;52;1;0;0
92;A-2023-01-17;474;7;146;56;1;0;1
93;A-2023-01-79;474;7;3;3;1;0;0
94;A-2023-01-13;474;7;38;92;1;1;1
95;A-2023-01-13;474;8;50;123;1;0;0
96;A-2023-01-21;474;12;114;52;1;0;0
97;A-2023-01-42;474;13;171;69;1;0;0
98;A-2023-01-80;474;7;3;96;1;1;0
