CÓDIGO SINIESTRO;HORA SINIESTRO;CLASE SINIESTRO;CANTIDAD DE FALLECIDOS;CANTIDAD DE LESIONADOS;CANTIDAD DE VEHICULOS DAÑADOS;DEPARTAMENTO;PROVINCIA;DISTRITO;ZONA;TIPO DE VÍA;RED VIAL;COD CARRETERA;COORDENADAS LATITUD;CONDICIÓN CLIMÁTICA;ZONIFICACIÓN;CARACTERÍSTICAS DE VÍA;PERFIL LONGITUDINAL VÍA;SUPERFICIE DE CALZADA;¿EXISTE SEÑAL VERTICAL?;CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1;CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2;¿EXISTE SEÑAL HORIZONTAL?;CAUSA FACTOR PRINCIPAL;CAUSA ESPECÍFICA;UBICACION;FECHA SINIESTRO;COORDENADAS LONGITUD
A-2021-01-23;40:00.0;DESPISTE;1;0;1;LIMA;HUARAL;HUARAL;RURAL;CARRETERA;PROVINCIAL;LM-671;-11.482879;DESPEJADO;RURAL;TRAMO RECTO;PLANA ;TROCHA;NULL;NULL;NULL;NULL;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA;LM-671;1/1/2021;-77.255547
A-2021-01-248;45:00.0;DESPISTE;1;3;0;LIMA;LIMA;PACHACAMAC;URBANA;AVENIDA;URBANO;NO CORRESPONDE;-12.2294;DESPEJADO;INDUSTRIAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;Jirón Paraíso;1/1/2021;-76.859412
A-2021-01-38;00:00.0;ATROPELLO FUGA;2;0;NULL;LA LIBERTAD;VIRU;VIRU;URBANA;CARRETERA;PROVINCIAL;LI-1150;-8.414865;DESPEJADO;COMERCIAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA;Calle Jorge Cháez;1/1/2021;-78.754544
A-2021-01-39;00:00.0;CHOQUE;1;0;2;LA LIBERTAD;VIRU;VIRU;RURAL;CARRETERA;NACIONAL;PE-1N;-8.432617;DESPEJADO;RURAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE;Carretera Panamericana Norte;1/1/2021;-78.772242
A-2021-01-254;00:00.0;ATROPELLO;1;1;0;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;URBANA;AVENIDA;URBANO;NO CORRESPONDE;-12.164406;DESPEJADO;INDUSTRIAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;Jirón San Martín de Porres;1/1/2021;-76.953426
A-2021-01-22;45:00.0;CHOQUE;1;1;2;SAN MARTIN;RIOJA;RIOJA;URBANA;JIRÓN;URBANO;NO CORRESPONDE;-6.063829;LLUVIOSO;COMERCIAL;INTERSECCIÓN;PLANA ;CONCRETO;SI;REGULADORA (R);INFORMATIVA (I);SI;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO;Las Palmeras;1/1/2021;-77.171368
A-2021-01-67;00:00.0;CHOQUE CON OBJETO FIJO;1;0;1;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;RURAL;CARRETERA;NACIONAL;PE-1N;-6.680472;DESPEJADO;INDUSTRIAL;CURVA;PLANA ;ASFALTADA;SI;PREVENTIVA (P);NULL;NO;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA;Carretera Lambayeque - Olmos;1/1/2021;-79.903582
A-2021-01-21;45:00.0;CHOQUE;1;0;2;PIURA;PIURA;PIURA;URBANA;OTRO;URBANO;NO CORRESPONDE;-5.164956;DESPEJADO;RURAL;INTERSECCIÓN;PLANA ;CONCRETO;SI;PREVENTIVA (P);REGULADORA (R);SI;IMPRUDENCIA DEL CONDUCTOR;NO ESTABLECER EL DERECHO DE PASO;Avenida Raúl Mata de la Cruz;2/1/2021;-80.651281
A-2021-01-26;40:00.0;CHOQUE;1;1;2;JUNIN;YAULI;MOROCOCHA;URBANA;CARRETERA;NACIONAL;PE-22;-11.591655;DESPEJADO;COMERCIAL;OTRO;INCLINADA;ASFALTADA;SI;REGULADORA (R);PREVENTIVA (P);SI;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA;Carretera Central;2/1/2021;-76.07529
A-2021-01-226;00:00.0;CHOQUE;1;0;2;PUNO;AZANGARO;AZANGARO;RURAL;CARRETERA;NACIONAL;PE-34B;-14.92116;LLUVIOSO;RURAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);Carretera Interoceánica Puno - Madre de Dios;2/1/2021;-70.204043
A-2021-01-36;45:00.0;ATROPELLO;1;0;1;ANCASH;SANTA;CHIMBOTE;URBANA;AVENIDA;URBANO;NO CORRESPONDE;-9.103893;DESPEJADO;COMERCIAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;REGULADORA (R);NULL;NULL;IMPRUDENCIA DEL PEATÓN;ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;Avenida Victor Raúl Haya de la Torre;2/1/2021;-78.554257
A-2021-01-44;00:00.0;CHOQUE;1;3;2;PIURA;SULLANA;MIGUEL CHECA;URBANA;CARRETERA;DEPARTAMENTAL;PI-102;-4.904805;DESPEJADO;RURAL;TRAMO RECTO;PLANA ;ASFALTADA;NO;NULL;NULL;NO;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE;Carretera Paita - Sullana;2/1/2021;-80.814243
A-2021-01-258;35:00.0;ATROPELLO FUGA;1;0;0;LIMA;LIMA;VILLA EL SALVADOR;URBANA;CARRETERA;NACIONAL;PE-1S;-12.225604;SOLEADO;COMERCIAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA;Carretera Panamericana Sur;3/1/2021;-76.971698
A-2021-01-40;30:00.0;CHOQUE;1;1;2;LA LIBERTAD;ASCOPE;CHICAMA;RURAL;CARRETERA;NACIONAL;PE-1N;-7.84524;DESPEJADO;RURAL;TRAMO RECTO;PLANA ;ASFALTADA;NULL;NULL;NULL;NULL;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE;Vía de Evitamiento de Chicama;3/1/2021;-79.150883
A-2021-01-17;10:00.0;DESPISTE;1;3;1;LIMA;HUAURA;PACCHO;RURAL;CARRETERA;NACIONAL;PE-18;-10.887069;LLUVIOSO;RURAL;SINUOSA;PLANA ;ASFALTADA;SI;REGULADORA (R);PREVENTIVA (P);NO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;Carretera Huaura - Ambo;3/1/2021;-76.980793
A-2021-01-64;50:00.0;ATROPELLO;1;0;1;JUNIN;SATIPO;MAZAMARI;RURAL;CARRETERA;NACIONAL;PE-5S;-11.299123;NUBLADO;RURAL;CURVA;PLANA ;CONCRETO;NULL;NULL;NULL;NULL;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA;Carretera Longitudinal de la Selva Sur;3/1/2021;-74.547193
